championName,X,Y,version
Aphelios,-0.9915798,3.2971919,13.16
Ashe,1.3774016,5.5213513,13.16
Caitlyn,0.098442376,3.0674193,13.16
Draven,-1.3426672,4.143834,13.16
Ezreal,0.52330536,0.88327223,13.16
Jhin,-0.51221836,4.094744,13.16
Jinx,-0.62326026,2.7421925,13.16
Kaisa,-0.28352648,-0.14898208,13.16
Lucian,0.56096035,1.82631,13.16
MissFortune,1.4246472,2.8199625,13.16
Nilah,3.081448,2.0172355,13.16
Samira,-2.5286694,4.266029,13.16
Sivir,1.3407291,1.929561,13.16
Tristana,-0.17274715,2.125213,13.16
Varus,-2.275708,1.7351394,13.16
Vayne,-1.3915651,3.161454,13.16
Xayah,-0.34982988,3.6105833,13.16
Zeri,-0.70317465,0.035392903,13.16
Aphelios,-0.4833917,3.2624488,13.17
Ashe,1.382545,5.524041,13.17
Caitlyn,0.03241544,2.7499263,13.17
Draven,-1.4507166,4.130654,13.17
Ezreal,0.47913182,0.91137207,13.17
Jhin,-0.49728468,3.9222584,13.17
Jinx,0.38711736,3.3124983,13.17
Kaisa,-0.26462325,-0.06501527,13.17
Lucian,0.63865125,1.7301518,13.17
MissFortune,1.5017805,2.8400264,13.17
Samira,-2.6320167,4.3434777,13.17
Sivir,1.3450022,1.933378,13.17
Varus,-2.2494354,1.6987551,13.17
Vayne,-1.2276838,2.839389,13.17
Xayah,0.010320082,3.7054133,13.17
Zeri,-0.70951825,-0.020380642,13.17
Aphelios,-0.61122715,3.1746042,13.18
Ashe,1.3840051,5.5271516,13.18
Caitlyn,0.07001858,2.7741952,13.18
Draven,-1.5544176,4.436919,13.18
Ezreal,0.5119931,0.8516123,13.18
Jhin,-0.45486522,3.9328163,13.18
Jinx,0.32527092,3.1895037,13.18
Kaisa,-0.29427615,-0.119668454,13.18
Kalista,1.7186899,0.69978505,13.18
Lucian,0.6130968,1.843733,13.18
MissFortune,1.4749271,3.0664306,13.18
Nilah,3.069009,2.0359638,13.18
Samira,-2.5903215,4.3047657,13.18
Sivir,1.3253684,1.8557404,13.18
Tristana,-0.33178872,2.0679603,13.18
Varus,-2.340867,1.6423815,13.18
Vayne,-1.0520645,2.6511757,13.18
Xayah,0.013024133,3.6254854,13.18
Zeri,-0.72474355,0.000975669,13.18
