championName,X,Y,version
Amumu,0.91591847,-3.352033,13.16
Diana,4.3148046,-3.102487,13.16
Ekko,2.9909868,-0.8198697,13.16
Elise,3.5071523,-3.3372347,13.16
Evelynn,4.4614367,-2.058829,13.16
FiddleSticks,-1.6694977,-1.1988571,13.16
Gragas,0.35444468,-1.9451786,13.16
Graves,2.3158011,-10.847792,13.16
Hecarim,-1.7943054,-5.62351,13.16
JarvanIV,1.3468782,-7.864005,13.16
Karthus,5.765707,-1.3740712,13.16
Kayn,-0.9368628,-10.839483,13.16
Khazix,-0.36436617,-11.585175,13.16
Kindred,1.353201,4.069233,13.16
LeeSin,-0.44701347,-7.6235204,13.16
Lillia,2.1365087,-0.21304907,13.16
Maokai,-2.3239098,-2.1177053,13.16
MasterYi,0.61224097,-11.613664,13.16
Nidalee,2.4785037,2.6904473,13.16
Nocturne,1.9594914,-9.193306,13.16
Nunu,-0.87502414,-2.8982697,13.16
Poppy,-5.38146,-5.6782594,13.16
RekSai,-0.6186354,-8.84327,13.16
Sejuani,-0.10313,2.2363455,13.16
Shaco,-5.181229,-4.2221723,13.16
Sylas,1.0925413,-1.8780843,13.16
Taliyah,-5.3454614,-2.7751167,13.16
Talon,1.1931063,-11.138308,13.16
Vi,-3.2284446,-7.3673506,13.16
Viego,-0.24577977,-10.296021,13.16
Zac,-3.9563582,0.7445784,13.16
Amumu,1.8172078,-3.439676,13.17
Belveth,0.5363024,-10.28021,13.17
Diana,5.0746684,-2.475922,13.17
Ekko,2.93254,-1.0288002,13.17
Elise,3.4915965,-2.817943,13.17
Evelynn,4.0482554,-2.4633372,13.17
FiddleSticks,-1.8924048,-1.0102022,13.17
Gragas,0.08971327,-1.9249374,13.17
Graves,2.5821092,-11.068673,13.17
Hecarim,-1.7834754,-5.619739,13.17
JarvanIV,1.1437309,-8.145751,13.17
Karthus,5.5056663,-1.2974633,13.17
Kayn,-1.3576977,-10.572164,13.17
Khazix,0.08888088,-11.548687,13.17
Kindred,1.3493236,4.124591,13.17
LeeSin,-0.34599876,-7.5233054,13.17
Lillia,2.2237954,-0.3539164,13.17
Maokai,-2.4273071,-2.1065001,13.17
MasterYi,0.8823881,-12.105205,13.17
Nidalee,2.5095837,2.7492478,13.17
Nocturne,1.6705161,-9.305431,13.17
Nunu,-1.0098376,-2.7510293,13.17
Poppy,-5.131247,-5.563452,13.17
RekSai,-0.6374389,-9.313937,13.17
Sejuani,-0.023817278,2.3273718,13.17
Shaco,-5.1794944,-4.276608,13.17
Sylas,1.2979059,-1.7669554,13.17
Taliyah,-5.2991595,-2.7154474,13.17
Talon,1.5626606,-12.460718,13.17
Vi,-3.4001176,-7.487781,13.17
Viego,-0.17165908,-10.365687,13.17
Warwick,-0.19025984,-4.0272403,13.17
XinZhao,0.3004707,-8.300143,13.17
Zac,-3.9520066,0.737635,13.17
Amumu,1.8332496,-3.596039,13.18
Briar,0.37970355,-6.2931576,13.18
Diana,5.3341937,-3.1012642,13.18
Ekko,2.807257,-0.9946164,13.18
Elise,3.3966212,-3.0924985,13.18
Evelynn,4.0076685,-2.014295,13.18
FiddleSticks,-1.8123406,-1.0787239,13.18
Gragas,0.39136052,-2.180231,13.18
Graves,2.6873848,-11.1186,13.18
Hecarim,-1.8918118,-5.5823264,13.18
JarvanIV,1.3030045,-7.835397,13.18
Karthus,5.6796885,-1.4605411,13.18
Kayn,-1.3452424,-11.009915,13.18
Khazix,-0.35376507,-12.475432,13.18
Kindred,1.3498791,4.2126355,13.18
LeeSin,-0.5088322,-7.526628,13.18
Lillia,2.0327706,-0.36939955,13.18
MasterYi,0.3771041,-12.115594,13.18
Nidalee,2.4531467,2.7860773,13.18
Nocturne,1.984391,-9.009435,13.18
Poppy,-5.08946,-5.648825,13.18
Rammus,-2.7604494,-2.0996435,13.18
RekSai,-0.0828376,-9.166794,13.18
Rengar,-0.005966837,-13.324441,13.18
Sejuani,-0.10312479,2.287781,13.18
Shaco,-5.2309976,-4.4081416,13.18
Sylas,1.4042581,-2.1099145,13.18
Taliyah,-5.25911,-2.7393465,13.18
Talon,-0.7493325,-11.745172,13.18
Vi,-3.3551316,-7.4253416,13.18
Viego,-0.52958393,-10.06537,13.18
Warwick,-0.16185062,-3.843485,13.18
XinZhao,0.17721093,-8.630376,13.18
Zac,-3.9314287,0.70543134,13.18
