championName,X,Y,version
Ahri,0.18034978,2.0602288,13.16
Akali,-2.284461,2.1090825,13.16
Akshan,-4.9623847,-4.659533,13.16
Anivia,6.433507,6.284756,13.16
Azir,0.9357305,4.223406,13.16
Cassiopeia,2.0149202,0.03136363,13.16
Diana,-0.61902994,3.3315663,13.16
Ekko,1.4747868,-0.24523196,13.16
Fizz,-1.2443886,3.621278,13.16
Irelia,-0.7143881,-3.4518456,13.16
Jayce,-4.1235957,-5.2048492,13.16
Katarina,-2.3363824,2.5722735,13.16
Leblanc,-0.3406999,0.9952958,13.16
Lissandra,5.0376153,5.5703645,13.16
Lux,0.53757524,9.300653,13.16
Malzahar,3.3366647,6.4105835,13.16
Naafiri,-6.96144,-0.0013046488,13.16
Neeko,3.6904936,3.4632432,13.16
Orianna,0.518379,9.294059,13.16
Pantheon,-3.9619925,-2.357012,13.16
Qiyana,-3.8604708,-1.5317585,13.16
Ryze,0.98650354,2.3165064,13.16
Sylas,4.247429,0.15256563,13.16
Syndra,6.5268598,3.0001645,13.16
Taliyah,5.106301,5.1019416,13.16
Talon,-5.7702827,-3.6524422,13.16
Tristana,-2.8427818,-5.3140583,13.16
TwistedFate,2.4774206,3.0403671,13.16
Vex,5.2467694,4.7115955,13.16
Viktor,1.4694399,5.318213,13.16
Vladimir,0.8970813,-2.9422984,13.16
Xerath,0.13346253,6.086505,13.16
Yasuo,-3.0860276,-3.1896865,13.16
Yone,-2.6319907,-2.7582953,13.16
Zed,-4.6386657,-4.12769,13.16
Zoe,-0.69802207,4.6616173,13.16
Ahri,0.2709244,1.5362432,13.17
Akali,-1.8462188,2.3512678,13.17
Akshan,-4.8197646,-3.3288,13.17
Azir,0.6521647,4.339595,13.17
Cassiopeia,2.1666245,-0.4290379,13.17
Ekko,1.5821744,0.15791641,13.17
Fizz,-1.290301,4.0744786,13.17
Irelia,-0.3682208,-3.4305522,13.17
Jayce,-3.9827602,-3.8299534,13.17
Katarina,-2.7594543,3.1439044,13.17
Leblanc,-0.32259673,1.2190406,13.17
Lissandra,4.924683,5.439242,13.17
Malphite,6.2672486,6.575942,13.17
Naafiri,-6.9638295,0.003788763,13.17
Neeko,3.3191836,3.5855927,13.17
Orianna,0.52393806,9.282134,13.17
Pantheon,-4.3165226,-2.2351646,13.17
Qiyana,-3.7794487,-1.502079,13.17
Sylas,4.1749196,0.056438915,13.17
Syndra,6.534108,3.008052,13.17
Talon,-5.4442196,-3.5069091,13.17
Tristana,-3.0883138,-4.9882617,13.17
TwistedFate,2.6852622,3.315994,13.17
Veigar,0.569938,3.7258055,13.17
Vex,4.85665,4.968141,13.17
Viktor,0.9799286,5.8495936,13.17
Xerath,0.2785402,5.6635504,13.17
Yasuo,-2.7204094,-3.7047012,13.17
Yone,-2.236453,-2.8889287,13.17
Zed,-4.747286,-3.9328637,13.17
Zoe,-0.8364624,4.622283,13.17
Ahri,0.30942127,1.8518775,13.18
Akali,-1.7646333,2.3090463,13.18
Akshan,-5.3298707,-4.678527,13.18
Azir,0.72754145,4.677033,13.18
Diana,-0.075718865,3.69224,13.18
Ekko,1.8879899,-0.3696302,13.18
Fizz,-1.0388069,3.540858,13.18
Irelia,-0.10112468,-3.3604703,13.18
Katarina,-2.6908536,2.6866388,13.18
Leblanc,-0.73343056,1.4002066,13.18
Lissandra,5.4913974,5.77798,13.18
Malzahar,3.3495636,6.4156775,13.18
Naafiri,-6.9758573,0.037242908,13.18
Neeko,3.3765194,3.66486,13.18
Orianna,0.55029225,9.258763,13.18
Pantheon,-4.5964756,-1.9799792,13.18
Sylas,4.1687245,0.13367607,13.18
Syndra,6.5339913,3.0557706,13.18
Talon,-5.4382696,-3.2770982,13.18
Tristana,-3.1153448,-5.495085,13.18
TwistedFate,2.726936,2.971185,13.18
Veigar,0.42512882,3.612198,13.18
Vex,5.6838846,5.181159,13.18
Viktor,1.1365825,6.165717,13.18
Xerath,0.12773354,5.885125,13.18
Yasuo,-2.8885493,-3.4869375,13.18
Yone,-2.4250543,-2.7397172,13.18
Zed,-4.5031147,-4.2090244,13.18
Zoe,-0.9497043,5.20454,13.18
