championName,X,Y,version
Aatrox,0.47619197,-0.18111147,13.16
Akali,7.8119473,0.7876625,13.16
Camille,-0.31318235,-1.2468452,13.16
Darius,-2.3639746,-2.221932,13.16
Fiora,-6.68891,-1.3066114,13.16
Gangplank,-3.0433202,-5.2562747,13.16
Garen,-3.997133,-3.475466,13.16
Gnar,0.8792849,-2.191439,13.16
Gwen,6.085211,0.89093983,13.16
Illaoi,0.45654896,4.8843217,13.16
Irelia,-1.6009351,1.8891335,13.16
Jax,4.1536827,0.27298108,13.16
Jayce,-1.8632737,-5.3073797,13.16
KSante,3.7313163,5.7468233,13.16
Kayle,6.187222,-0.08780261,13.16
Kennen,8.308703,0.20652385,13.16
Malphite,7.7222705,3.5085967,13.16
Maokai,7.194532,-3.4540894,13.16
Naafiri,-6.8927836,-1.8041332,13.16
Nasus,-3.68835,2.1532085,13.16
Ornn,5.709123,-2.9556117,13.16
Pantheon,0.227869,-4.891381,13.16
Poppy,2.3433905,-2.2758,13.16
Renekton,-1.7956595,0.51940936,13.16
Rengar,-3.154061,0.45005515,13.16
Riven,-0.6625371,-2.1276293,13.16
Rumble,8.814245,1.291784,13.16
Sett,1.5678141,-0.8354399,13.16
Teemo,7.499886,1.5788417,13.16
Trundle,-4.4040475,2.2066596,13.16
Volibear,2.2164326,4.1462817,13.16
Yasuo,-1.7424201,-3.5260024,13.16
Yone,1.2949605,-3.7809684,13.16
Zac,7.274613,-5.416462,13.16
Aatrox,0.7504292,0.5905023,13.17
Akali,9.173182,0.8748176,13.17
Camille,0.13908657,-1.5736262,13.17
Darius,-2.2681148,-2.1715524,13.17
Fiora,-6.7836185,-1.439808,13.17
Gangplank,-2.9823387,-4.7799034,13.17
Garen,-3.481608,-3.4844038,13.17
Gnar,1.0633326,-2.7502809,13.17
Gwen,6.621984,0.82602423,13.17
Illaoi,0.4093723,4.9060335,13.17
Irelia,-1.3488613,1.8664721,13.17
Jax,4.530239,0.3458063,13.17
Jayce,-1.7050066,-5.927099,13.17
KSante,3.7682307,5.777513,13.17
Kennen,8.999008,0.1956295,13.17
Malphite,7.7270837,3.571671,13.17
Maokai,7.231397,-3.5770893,13.17
Mordekaiser,7.6521144,-0.17339906,13.17
Nasus,-3.2355735,2.3355935,13.17
Olaf,-3.6994667,-0.9428732,13.17
Ornn,5.8701158,-2.895426,13.17
Pantheon,-0.7881888,-3.1173203,13.17
Quinn,-0.20731579,-4.0748034,13.17
Renekton,-1.4331344,0.5378524,13.17
Rengar,-3.0685666,0.72380537,13.17
Riven,-0.40882355,-2.3093524,13.17
Rumble,9.1531725,1.6964412,13.17
Sett,1.513384,-1.0791411,13.17
Teemo,8.1023655,1.7753104,13.17
Tryndamere,-4.0142155,0.47330388,13.17
Vayne,-1.4909767,-4.5813146,13.17
Volibear,2.428559,4.195419,13.17
Warwick,1.1782168,1.7458533,13.17
Yasuo,-0.6325811,-4.776401,13.17
Yone,0.9568824,-3.644014,13.17
Aatrox,0.5573744,0.39762694,13.18
Akali,8.330843,0.97561437,13.18
Briar,0.39411622,1.395864,13.18
Camille,0.38913262,-2.0936482,13.18
Darius,-2.0724678,-2.3666518,13.18
Fiora,-6.4696684,-1.1055237,13.18
Gangplank,-3.1326663,-4.9532695,13.18
Garen,-3.604741,-3.1181731,13.18
Gnar,1.4053583,-2.7995403,13.18
Gwen,6.436104,0.94719386,13.18
Illaoi,0.5258032,4.880781,13.18
Irelia,-1.5753027,1.9460574,13.18
Jax,4.571525,0.37177473,13.18
Jayce,-1.6443495,-5.2737465,13.18
KSante,3.753514,5.760777,13.18
Kennen,8.638061,-0.07756031,13.18
Malphite,7.7671285,3.4916759,13.18
Nasus,-3.3795128,2.5945976,13.18
Olaf,-4.845177,0.28851297,13.18
Ornn,5.803024,-2.9954076,13.18
Pantheon,-0.9848994,-2.8006656,13.18
Poppy,2.7862928,-2.3313818,13.18
Quinn,-0.5628396,-4.0641727,13.18
Renekton,-1.6388018,0.50413483,13.18
Rengar,-4.384628,0.7700454,13.18
Rumble,9.4288,1.3120345,13.18
Sett,2.0225215,-0.7195967,13.18
Shen,4.020351,-5.4037147,13.18
Sion,3.0668178,-1.0430353,13.18
Sylas,7.288985,-2.4238884,13.18
Teemo,8.527606,2.169802,13.18
Tryndamere,-3.2817352,-0.048371863,13.18
Volibear,2.22886,3.7815654,13.18
Yasuo,-1.869152,-3.6245348,13.18
Yone,0.65240824,-3.6608884,13.18
Zac,7.2770047,-5.3636737,13.18
