championName,X,Y,version
Alistar,-0.85657114,-3.107865,13.16
Blitzcrank,-1.6203672,-4.552538,13.16
Brand,3.944621,-1.0869958,13.16
Braum,0.030341242,-5.674512,13.16
Karma,3.1063132,-4.005541,13.16
Leona,-1.4962016,-5.452641,13.16
Lulu,3.4626708,-5.451029,13.16
Lux,3.4613752,-2.810807,13.16
Maokai,-2.204006,-3.259568,13.16
Milio,2.3126755,-7.12921,13.16
Morgana,2.1702914,-3.5105226,13.16
Nami,2.617085,-6.6403093,13.16
Nautilus,-2.9218614,-4.1261244,13.16
Pyke,-2.8088098,-0.73093575,13.16
Rakan,0.9486419,-6.365547,13.16
Rell,-1.037927,-4.8803983,13.16
Senna,-1.8953538,0.18102325,13.16
Seraphine,2.5095541,-4.602344,13.16
Shaco,1.5616266,-1.3736981,13.16
Soraka,3.1228309,-8.683745,13.16
Swain,0.43217343,-1.2987639,13.16
Thresh,-0.22420162,-4.573228,13.16
Xerath,4.6717124,-1.866728,13.16
Yuumi,4.0624523,-7.142412,13.16
Zyra,2.923154,-1.9034033,13.16
Alistar,-0.8437467,-3.0139534,13.17
Blitzcrank,-1.6347208,-4.411015,13.17
Brand,3.7637591,-1.3134921,13.17
Braum,0.17747301,-5.453905,13.17
Heimerdinger,4.1984158,-1.2131019,13.17
Karma,3.1087735,-3.8954616,13.17
Leona,-1.2876043,-5.399339,13.17
Lulu,3.3765996,-5.4319024,13.17
Lux,3.7215831,-2.4547296,13.17
Milio,2.4638872,-7.2322927,13.17
Morgana,2.0091112,-3.553701,13.17
Nautilus,-2.8711717,-4.0667295,13.17
Neeko,3.2378302,-1.2088075,13.17
Pyke,-2.8471777,-0.8647297,13.17
Rakan,1.0408981,-6.349416,13.17
Rell,-0.9368193,-4.537437,13.17
Senna,-1.775052,0.2755406,13.17
Shaco,1.5834092,-1.5956855,13.17
Soraka,3.112853,-8.675962,13.17
Thresh,-0.19563487,-4.451224,13.17
Xerath,4.3357263,-1.915542,13.17
Yuumi,4.0184426,-7.0800767,13.17
Zilean,2.013347,-4.4339495,13.17
Zyra,3.3882446,-1.9505961,13.17
Alistar,-0.9512076,-3.1175122,13.18
Bard,1.1652504,-5.044987,13.18
Blitzcrank,-1.5535191,-4.25194,13.18
Braum,0.43713132,-5.4999595,13.18
Karma,3.2236643,-3.6844628,13.18
Leona,-1.1129897,-5.567697,13.18
Lulu,3.4390297,-5.442793,13.18
Lux,3.4170578,-2.5334876,13.18
Morgana,2.0728464,-3.708784,13.18
Nautilus,-2.8322575,-4.1123924,13.18
Pantheon,-3.0532327,-0.7411667,13.18
Pyke,-2.8643897,-0.91049385,13.18
Rakan,1.0938625,-6.2155643,13.18
Rell,-0.7550543,-5.0280066,13.18
Senna,-1.805356,0.24530904,13.18
Shaco,1.6338068,-1.1717186,13.18
Soraka,3.12911,-8.697065,13.18
Thresh,-0.09988756,-4.4668446,13.18
Xerath,4.3715897,-1.9720671,13.18
Yuumi,4.053987,-7.184562,13.18
Zilean,1.9996564,-4.9829197,13.18
Zyra,3.0164652,-2.099187,13.18
