championName,magicDamageDealtToChampions rate,teamDamagePercentage,damageTakenOnTeamPercentage,totalTimeCCDealt per minute,enemyChampionImmobilizations per minute,killParticipation,soloKills per minute,totalHeal per minute,effectiveHealAndShielding per minute,survivedThreeImmobilizesInFight per minute,twentyMinionsIn3SecondsCount per minute,soloTurretsLategame,turretPlatesTaken,version
Amumu,0.9812617017426905,-0.4621812723749106,0.24185793281076742,-0.8427444797624,0.9903705214992449,-0.33761047919280207,-0.2827346088881935,-0.19440295188239998,-0.3105044842659321,0.20575309118652868,0.10031672033587398,-0.1617830576767247,-0.013951236575704967,13.16
Diana,1.114136675835311,0.15190757557716916,-0.7079194741287321,-0.8423340062859582,-0.39206568482005116,-0.2457142736062402,0.270833675367068,-0.7643281669660943,-0.426267253727548,0.321014856944745,0.21110312433003606,0.012639301380994124,-0.1133537971776024,13.16
Ekko,1.0612812132360478,0.48659858852403,0.290779993269556,0.19990685781499323,-0.6821939807691348,0.2417087408893436,0.25532972142453797,0.026522100063074518,-0.426267253727548,0.23035398153169512,0.3009220119733904,-0.006887049668900803,-0.06975618287852457,13.16
Elise,1.15146958060006,-0.25042443521194335,-0.47491929691697216,-1.1029565538632122,-0.3405018364235479,-0.412321934197114,-0.10077134067106425,-0.5011559030298298,-0.426267253727548,-0.4681949749654252,-0.3828294541993805,0.21443052749631436,-0.08211299241700606,13.16
Evelynn,1.3538390983401911,0.6760250422367136,-0.25112713105387446,-0.9047723287185249,-0.4935593818277296,0.10113986842212114,0.8188772921839529,-0.386993394492794,-0.426267253727548,-0.23698514498305479,-0.33996090787551836,-0.19244782024290127,-0.19066689986796706,13.16
FiddleSticks,1.2845503120911084,-0.11812203970614196,0.027420353740914363,1.4684788236005597,1.1735138191409995,0.05281708261648149,-0.3904924869091791,0.19919433832885494,-0.426267253727548,-0.05074398725823424,-0.1551915888519262,-0.1782442908902547,-0.31484547407334046,13.16
Gragas,1.254134776982691,0.31659825283176746,0.027748127331769533,0.09027232281976608,0.8567382564939953,0.02763495685459389,-0.11062668207070739,0.08516283688721367,-0.4262672537275479,-0.30940772788690085,-0.2305226623328407,-0.15987972758641028,-0.25251738202025875,13.16
Graves,-0.9733915016777759,0.1865196553376291,-0.4513852463480931,0.41265922149649825,-0.8669498859219879,-0.11862055254945879,0.027335996219615032,-0.4122977459997903,-0.426267253727548,0.021740358778582627,0.9958387011608576,0.37072951538550497,0.1809557449966429,13.16
Hecarim,-0.7290219264550961,-0.036187693691735745,1.2445797373715595,-0.8177988305425878,1.752292610135055,0.09959742903868608,-0.16812707849577402,0.6518607111589136,-0.426267253727548,-0.09931528044708009,0.40594611585090457,-0.16458207251542237,-0.2946172900398859,13.16
JarvanIV,-0.8484224179269265,-0.24114101775836363,-0.14139717627427767,0.4185059110352634,-0.2776130849155489,0.7362637313120584,-0.20265056012364563,-0.3870938490392692,-0.426267253727548,0.6149828672795441,-0.22769569457315433,-0.1752106603686688,-0.0030578052768668986,13.16
Karthus,1.3497204864299903,1.6270887682986557,-0.18284266493498286,-0.9132396135530962,-0.874236246982033,0.8834622117285071,-0.008848868913699046,-0.676046300000551,-0.42626725372754803,-0.46674746064012657,0.4332837258517376,0.021877951853342254,-0.22140005870140395,13.16
Kayn,-0.9340258166348082,0.18915773548630113,0.38337846790100116,-0.5623208505956814,-0.5620780515408075,-0.14378674305762423,0.27177826558025125,0.3165243893953987,-0.4262672537275479,0.07881002801137421,0.07100247044450551,-0.07735252445168399,-0.4513225032240536,13.16
Khazix,-0.9472283666275509,0.30352778390057505,0.12144758006375594,-0.6972351240209341,-0.8701886727935102,-0.0487346008827351,0.34776251007263,-0.04251955160174773,-0.426267253727548,-0.11944335527473462,-0.34976832393429913,0.10815638505910709,-0.08360558561061118,13.16
Kindred,-0.6654936517797087,0.18357207947993645,-0.22261305675445056,-0.7370086190911749,-0.874236246982033,-0.12488376588163369,0.01771497627967787,-0.0572180821636544,2.8240504518252676,-0.28149801481351205,0.09937096128834617,0.09457171386249719,0.4941062953895485,13.16
LeeSin,-0.6704067405919176,-0.19303021600204573,0.22680585034664769,0.28441773164737505,0.2287315462295692,0.11446033522827806,-0.0032275706233320664,0.08469263760417749,0.4693889615155792,0.0290467172000108,-0.09435413978685832,-0.11451803736071642,0.011374256571275256,13.16
Lillia,0.8672994628612444,0.4171174857098557,0.5844225356297045,0.07878736060111494,-0.5289749107081367,0.0715059787561836,-0.22044371465436832,0.8498289556719075,-0.426267253727548,-0.21660822829876575,0.6324005197988827,-0.1855746838056548,0.21325461622863198,13.16
Maokai,1.1082494473721356,-0.3293393583686215,0.4628295686872808,0.8422063518029821,2.268770968764633,0.057554984473010495,-0.5883956689566368,0.5684121510092481,0.6334653177931292,0.09614441582377321,-0.2754510060203555,-0.16654138290251072,-0.10230906822183601,13.16
MasterYi,-0.9314818776567599,-0.13259519069478212,-0.5229362212785019,-0.7806045752825383,-0.8705095371930601,-0.5689622699913569,0.18784352911270388,-0.5008762364398468,-0.426267253727548,-0.13025895378266675,-0.005126956369506939,-0.0541429434619795,0.34957812791123416,13.16
Nidalee,1.1844927773130012,-0.029926868930145404,0.013124570039726054,-1.1792311895606025,-0.8714980930810564,0.033680823175793885,-0.09922394328654341,0.4097633977038148,1.6580811769243486,-0.11703478747683109,-0.28614850385400964,-0.12104339669948028,0.07960411457902201,13.16
Nocturne,-0.8935566109898304,-0.2360376632554778,0.09613012453397485,1.0707885106009847,-0.4372433035560488,-0.24567553406688392,0.14640746697803148,-0.067196238920662,-0.4262672537275479,-0.32751542011625834,0.10147669073103667,0.32991898573468503,-0.013951236575704969,13.16
Nunu,1.1537982109183733,-0.8239807463360068,0.720625385965291,-0.12243543501113305,0.901620419164453,0.1441397822483446,-0.3094519257331261,0.9808053832405765,0.2611111189246269,0.3378188447347243,-0.11687498899702406,-0.1686231501887921,0.010899403574769387,13.16
Poppy,-0.840012083993213,-0.46760002657971345,-0.2660233309234848,2.288947062407806,0.7186097561921461,-0.04425507928577598,-0.20549960286976848,-0.6778038456917319,-0.426267253727548,0.31960344913498706,-0.44213291834096125,0.0779175755722461,0.0523171371588933,13.16
RekSai,-1.0896997416898841,0.025922032914379955,0.33095433542838254,-0.14174311093384426,0.0814672367678262,0.4233054938539498,0.12922582377897388,0.4015258619845074,-0.426267253727548,0.1904241576911544,-0.11568191018249101,0.39598187738338037,0.28425644522998733,13.16
Sejuani,0.03624578757971051,-0.8177088424451385,-0.08615614725903112,-0.21755387980946894,0.30476208994262877,0.10509668801181908,-0.7149631166198899,-0.15882274690606404,1.5951364785518456,0.5125757928686066,-0.05337280015379558,-0.19984965948301286,-0.12755416297787345,13.16
Shaco,0.1444324901529889,-0.07385132740423428,-0.9314256151645839,1.3288546914463428,0.6389945572186116,-0.10218791006127785,0.3471984274590449,-0.8506710057862721,-0.426267253727548,-0.34347807579325956,-0.2826493337354471,-0.021285008376060684,0.12805242142700562,13.16
Sylas,1.3802499159869481,0.24043667263254537,0.6529023947930402,-0.12458389135971847,0.47380410900164877,-0.18686726902346687,0.12695510632970228,0.07602623860494889,-0.3660083786983065,0.03890823130582444,-0.150313262889339,-0.11652489615419175,-0.0380488270246498,13.16
Taliyah,1.2099814964847955,0.4086735341472719,-1.2985661074382273,1.2244439443261164,0.22373473374870514,0.02390847894917436,-0.01411107924004451,-1.2868917307073655,-0.426267253727548,-0.4819218735023344,0.612560363222141,-0.06875779951260798,-0.013951236575704986,13.16
Talon,-1.0903618502958718,0.13705021247232035,0.12468242917531355,-0.18343270490870475,-0.8708441427671015,-0.43631428278294804,0.28783402322460316,-0.4092821150846765,-0.4262672537275479,-0.2755324081705151,0.5889327218857079,0.045144610579644875,0.06557081190581297,13.16
Vi,-1.0729807431680234,-0.3567530057099128,-0.10442441742657192,-0.6094300336464177,1.9574468794497089,-0.10198681753167584,-0.11797961630270812,-0.6970553426349749,-0.41709144268810977,0.3008002101722695,-0.25739550921037124,-0.19984965948301286,0.34751262015846746,13.16
Viego,-0.8228519845190903,-0.1507789203333536,-0.1746445989751359,-0.7740456998910574,-0.09444751868360665,-0.32891625507115546,-0.056610318879898314,-0.06187029303486087,-0.3460202415016623,0.03095942416698712,-0.0003829377472275065,0.31207866602104817,-0.12077189871505742,13.16
Zac,1.185892614127732,-0.7052572188702753,0.9135468355658615,0.1214980225324053,2.7161480627568158,0.03385141505116095,-0.6461372123149992,4.64285913383173,1.1582971773146298,0.4677515438246054,-0.1283939378801823,-0.15472231701910674,0.13996240564658782,13.16
Amumu,1.0606584088867437,-0.12218467603610558,-0.5112538827860358,-0.9340612447711281,1.104547191639881,0.1380324598991138,0.03884262620808207,-0.5211445072428463,-0.231878578461624,-0.08335906573066762,-0.39204549324750365,-0.1738858210212473,-0.3485288424083415,13.17
